#Template,Variation,h_angle,h_mass
ggA_neg-int-50pc-M500,CMS_scale_j_13TeV_RelativeFSR,1.5,1.5
ggA_neg-int-50pc-M500,CMS_scale_j_13TeV_RelativeJEREC1,1.5,1.5
ggA_neg-int-50pc-M500,CMS_scale_j_13TeV_RelativePtBB,1.5,1.5
ggA_neg-int-50pc-M500,CMS_scale_j_13TeV_RelativePtEC1,1.5,1.5
ggA_neg-int-50pc-M500,CMS_scale_j_13TeV_RelativeStatEC,1.5,1.5
ggA_neg-int-50pc-M500,CMS_scale_j_13TeV_RelativeStatFSR,0.5,0.5
ggA_neg-int-50pc-M500,CMS_scale_j_13TeV_SinglePionECAL,1.5,0.3
ggA_neg-int-50pc-M500,CMS_scale_j_13TeV_SinglePionHCAL,1.5,0.5
ggA_neg-int-50pc-M500,CMS_scale_j_13TeV_TimePtEta,1.5,1.5
ggA_neg-int-50pc-M600,CMS_METunclustered_13TeV,1.5,0.3
ggA_neg-int-50pc-M600,CMS_res_j_13TeV,0.3,1.5
ggA_neg-int-50pc-M600,CMS_scale_j_13TeV_AbsoluteMPFBias,1.5,1.5
ggA_neg-int-50pc-M600,CMS_scale_j_13TeV_AbsoluteScale,1.5,1.5
ggA_neg-int-50pc-M600,CMS_scale_j_13TeV_AbsoluteStat,1.5,0.3
ggA_neg-int-50pc-M600,CMS_scale_j_13TeV_FlavorQCD,1.5,0.5
